Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2022-06-16,2753.0,290.2,263.9,290.2,60760.0,17605819.4,0.0,26.3
2022-06-17,3311.0,301.9,270.0,273.0,52534.0,14617918.7,290.2,-17.2
2022-06-19,1840.0,267.6,245.8,246.9,19420.0,4886187.0,273.0,-26.1
2022-06-20,1091.0,250.0,222.3,224.1,31226.0,6985049.7,246.9,-22.8
2022-06-21,718.0,246.5,211.3,244.0,20128.0,4674223.2,224.1,19.9
2022-06-22,426.0,253.7,227.0,233.5,6830.0,1585135.0,244.0,-10.5
2022-06-23,410.0,238.1,212.0,216.0,11649.0,2524901.6,233.5,-17.5
2022-06-24,278.0,228.0,200.0,213.0,9612.0,2020577.5,216.0,-3.0
2022-06-26,433.0,227.0,212.0,227.0,14916.0,3294027.7,213.0,14.0
2022-06-27,462.0,231.5,216.6,224.7,13680.0,3055452.2,227.0,-2.3
2022-06-28,330.0,224.0,212.0,216.9,9230.0,2000857.0,224.7,-7.8
2022-06-30,449.0,235.0,214.1,229.0,24919.0,5721025.6,225.0,4.0
2022-07-01,243.0,233.0,222.5,226.0,8939.0,2020276.0,229.0,-3.0
2022-07-03,502.0,244.0,218.2,242.0,18191.0,4281348.4,226.0,16.0
2022-07-04,643.0,260.0,225.4,231.0,33149.0,8009262.9,242.0,-11.0
2022-07-05,373.0,240.0,221.0,223.0,12329.0,2804460.1,231.0,-8.0
2022-07-06,470.0,234.0,218.7,225.0,9290.0,2066905.0,223.0,2.0
2022-07-07,398.0,234.6,218.2,224.0,13889.0,3120943.0,225.0,-1.0
2022-07-08,203.0,220.0,214.0,215.0,7726.0,1669379.4,224.0,-9.0
